channel_id, channel_title, industry, channel_subscriberCount, channel_videoCount, channel_viewCount, has_email, has_ig, has_fb, has_twitter, has_websites, has_twitch, has_google_plus, twitter_favourites_count, twitter_followers_count, ig_posts_count, ig_followers_count, ig_following_count, keywords
UCvBB6OGtQcNXWdT68OgyGUw,Beautycanbraid,hair,880300,322,134097818,0,1,1,0,0,0,1,,,11.7k,493.3k,"2,101","""hair braiding"" ""crochet braid"""
UCIk2OuKT6k-KRZdQ3dKtgkQ,DIY Everyday,hair,293162,224,67597500,0,0,0,1,0,0,1,77,20,,,,"""makeup tutorial"" ""make up"" beauty cosmetics contour lipstick blush diy glitter nails hair hairstyle tutorial"
UCG8rbF3g2AMX70yOd8vqIZg,Logan Paul Vlogs,hair,16888007,502,3342226223,0,1,1,1,1,0,0,19182,4383879,809,16.1m,165,comedy vlogs adventure vacation travel plane vine vines Facebook creator influencer bros hilarious american ohio brother bro blonde athletic ripped buff
UC5Sy6opw8MT_vKcRqX1QDsg,George7575,hair,11142,13,34176179,0,0,0,0,0,0,0,,,,,,
UCw95JvOs39snnMPkYs-6Sog,Jasmine Brown,hair,1749092,268,104689671,1,1,0,1,0,0,0,4348,48849,"2,223",879.5k,559,"Hair beauty fashion hispanic ""african american"" lifestyle tutorial vlog"
UCPOIFuct7fjWKkiDRTNJqrg,Totally TV,hair,2239336,370,361338818,0,1,0,1,0,0,1,48,872,511,33.1k,14,"""Totally TV"" ""Disney Toys Fan"" DisneyToysFan Totally.TV"
UC88--r3FklrnWjfzRy7LUIg,Chizi Duru,hair,187676,179,15406192,0,1,1,1,0,0,0,1068,2265,265,71.1k,580,natural hair 4c 4b nigerian african random teenager life love vlogger product reviews high school college beyonce big american braids tutorial
UCtzwABmVmZ6NDf7D544RuQw,Humble The Poet,hair,189031,367,13421993,0,1,1,1,0,0,1,6062,94161,"3,263",274.3k,858,"""humble the poet"" ""young fateh"" ""kanwer singh"" ""kanwar singh"" ""baaghi music"" ""baagi music"" humblethepoet music unlearn unlearn101 vlog blog quotes inspiration advice learning toronto ""hip hop"" rapper #leh leh superwoman iisuperwoman punjabi ""jus reign"" akakaamazing videos motivation"
UCF1Q_zp3Eh3nuEHvMbdKkqg,AlishaMarieVlogs,hair,2617581,647,384415805,0,0,0,0,0,0,1,,,,,,"""vlog channel"" ""alisha marie"" vlog vlogger vlogging ""alisha marie vlogs"""
UCRWMaVAQWgmaFkOjK-4RAIg,Hannah Forcier,hair,212552,92,20727723,1,1,0,1,0,0,0,9225,2107,136,30.4k,313,"""Hannah Forcier Youtube"" ""Hannah Forcier Youtube Channel"" ""Hannah Forcier Channel"" ""Youtube Hannah Forcier"" ""Youtube channel Hannah Forcier"" ""Channel Hannah Forcier"" ""Hannah Forcier Hair"" ""Beauty Blogger"" ""how all my hair fell out by making one mistake"" Beauty"
