
Pattern                                                                         Occurances: Tid_List
Industry:vegan ViewCount:1x10000000                                                                                                                   :3
Industry:vegan ViewCount:2x10000000                                                                                                                   :3
Industry:vlog                                                                                                                                         :43
Industry:vlog InstaFollowing:2x100                                                                                                                    :6
Industry:vlog InstaFollowing:2x100
 Subscribers:2x100000                                                                                              :4
Industry:vlog InstaFollowing:3x100                                                                                                                    :4
Industry:vlog InstaFollowing:5x100                                                                                                                    :4
Industry:vlog InstaFollowing:5x100
 ViewCount:2x10000000                                                                                              :4
Industry:vlog InstaFollowing:7x10                                                                                                                     :4
Industry:vlog InstaPosts:2x100                                                                                                                        :4
Industry:vlog InstaPosts:5x100                                                                                                                        :6
Industry:vlog InstaPosts:5x100 Subscribers:1x1000000                                                                                                  :4
Industry:vlog InstaPosts:5x100 Subscribers:1x1000000 VideoCount:1x100                                                                                 :4
Industry:vlog InstaPosts:5x100 Subscribers:1x1000000 VideoCount:1x100 ViewCount:8x10000000                                                            :4
Industry:vlog InstaPosts:5x100 Subscribers:1x1000000 ViewCount:8x10000000                                                                             :4
Industry:vlog InstaPosts:5x100 VideoCount:1x100                                                                                                       :4
Industry:vlog InstaPosts:5x100 VideoCount:1x100 ViewCount:8x10000000                                                                                  :4
Industry:vlog InstaPosts:5x100 ViewCount:8x10000000                                                                                                   :4
Industry:vlog InstaPosts:7x100                                                                                                                        :4
Industry:vlog Subscribers:1x1000000                                                                                                                   :12
Industry:vlog Subscribers:1x1000000 VideoCount:1x100                                                                                                  :4
Industry:vlog Subscribers:1x1000000 VideoCount:1x100 ViewCount:8x10000000                                                                             :4
Industry:vlog Subscribers:1x1000000 ViewCount:8x10000000                                                                                              :4
Industry:vlog Subscribers:2x100000                                                                                                                    :7
Industry:vlog Subscribers:2x100000 ViewCount:2x10000000                                                                                               :4
Industry:vlog Subscribers:3x100000                                                                                                                    :8
Industry:vlog Subscribers:3x100000 VideoCount:4x10                                                                                                    :4
Industry:vlog TwitterFavorites:2x10000                                                                                                                :4
Industry:vlog TwitterFavorites:3x1000                                                                                                                 :4
Industry:vlog VideoCount:1x10                                                                                                                         :4
Industry:vlog VideoCount:1x100                                                                                                                        :12
Industry:vlog VideoCount:1x100 ViewCount:8x10000000                                                                                                   :4
Industry:vlog VideoCount:2x10                                                                                                                         :3
Industry:vlog VideoCount:2x100                                                                                                                        :6
Industry:vlog VideoCount:3x10                                                                                                                         :4
Industry:vlog VideoCount:4x10                                                                                                                         :4
Industry:vlog ViewCount:2x10000000                                                                                                                    :6
Industry:vlog ViewCount:2x100000000                                                                                                                   :4
Industry:vlog ViewCount:8x10000000                                                                                                                    :4
Industry:yoga                                                                                                                                         :8
Industry:yoga VideoCount:1x100                                                                                                                        :3
